frame.number,frame.time_relative,_ws.col.Protocol,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0.000000000,ICMP,192.168.208.128,192.178.192.100,,,,
2,0.004547906,ICMP,192.178.192.100,192.168.208.128,,,,
3,0.193834008,ICMP,192.168.208.128,1.1.1.1,,,,
4,0.197582267,ICMP,1.1.1.1,192.168.208.128,,,,
5,1.001322870,ICMP,192.168.208.128,192.178.192.100,,,,
6,1.005483521,ICMP,192.178.192.100,192.168.208.128,,,,
7,1.195441041,ICMP,192.168.208.128,1.1.1.1,,,,
8,1.199309787,ICMP,1.1.1.1,192.168.208.128,,,,
9,2.002863914,ICMP,192.168.208.128,192.178.192.100,,,,
10,2.007110258,ICMP,192.178.192.100,192.168.208.128,,,,
11,2.196922782,ICMP,192.168.208.128,1.1.1.1,,,,
12,2.200709604,ICMP,1.1.1.1,192.168.208.128,,,,
13,2.311392509,ARP,,,,,,
14,2.312042783,ARP,,,,,,
15,3.004986591,ICMP,192.168.208.128,192.178.192.100,,,,
16,3.009089547,ICMP,192.178.192.100,192.168.208.128,,,,
17,3.010015577,DNS,192.168.208.128,192.168.208.2,,,51963,53
18,3.013559795,DNS,192.168.208.2,192.168.208.128,,,53,51963
19,3.198123977,ICMP,192.168.208.128,1.1.1.1,,,,
20,3.201881234,ICMP,1.1.1.1,192.168.208.128,,,,
21,4.201283739,ICMP,192.168.208.128,1.1.1.1,,,,
22,4.205228506,ICMP,1.1.1.1,192.168.208.128,,,,
23,5.203297698,ICMP,192.168.208.128,1.1.1.1,,,,
24,5.207393976,ICMP,1.1.1.1,192.168.208.128,,,,
25,6.205156644,ICMP,192.168.208.128,1.1.1.1,,,,
26,6.210177856,ICMP,1.1.1.1,192.168.208.128,,,,
27,7.206714810,ICMP,192.168.208.128,1.1.1.1,,,,
28,7.211311490,ICMP,1.1.1.1,192.168.208.128,,,,
29,8.209300928,ICMP,192.168.208.128,1.1.1.1,,,,
30,8.213746128,ICMP,1.1.1.1,192.168.208.128,,,,
