frame.time_relative,_ws.col.Protocol,ip.src,ip.dst,tcp.flags,tcp.len,udp.length,dns.qry.name
0.000000000,DNS,192.168.208.128,192.168.208.2,,,48,example.com
0.000158422,DNS,192.168.208.128,192.168.208.2,,,48,example.com
0.014416557,ARP,,,,,,
0.014427915,ARP,,,,,,
0.014602382,DNS,192.168.208.2,192.168.208.128,,,216,example.com
0.014602599,DNS,192.168.208.2,192.168.208.128,,,144,example.com
0.015148355,TCP,192.168.208.128,23.215.0.136,0x0002,0,,
0.042364661,TCP,23.215.0.136,192.168.208.128,0x0012,0,,
0.042405406,TCP,192.168.208.128,23.215.0.136,0x0010,0,,
0.042463049,HTTP,192.168.208.128,23.215.0.136,0x0018,75,,
0.042826138,TCP,23.215.0.136,192.168.208.128,0x0010,0,,
0.079991273,HTTP,23.215.0.136,192.168.208.128,0x0018,775,,
0.080012683,TCP,192.168.208.128,23.215.0.136,0x0010,0,,
0.080509907,TCP,192.168.208.128,23.215.0.136,0x0011,0,,
0.080716024,TCP,23.215.0.136,192.168.208.128,0x0010,0,,
0.116898963,TCP,23.215.0.136,192.168.208.128,0x0019,0,,
0.116924068,TCP,192.168.208.128,23.215.0.136,0x0010,0,,
4.039460065,DNS,192.168.208.128,192.168.208.2,,,57,senecapolytechnic.ca
4.042230521,DNS,192.168.208.2,192.168.208.128,,,105,senecapolytechnic.ca
5.081806680,ARP,,,,,,
5.082251957,ARP,,,,,,
6.218908531,ICMP,192.168.208.128,1.1.1.1,,,,
6.222577759,ICMP,1.1.1.1,192.168.208.128,,,,
7.220959189,ICMP,192.168.208.128,1.1.1.1,,,,
7.226104413,ICMP,1.1.1.1,192.168.208.128,,,,
8.222354760,ICMP,192.168.208.128,1.1.1.1,,,,
8.226923525,ICMP,1.1.1.1,192.168.208.128,,,,
9.224295751,ICMP,192.168.208.128,1.1.1.1,,,,
9.228177263,ICMP,1.1.1.1,192.168.208.128,,,,
10.225684718,ICMP,192.168.208.128,1.1.1.1,,,,
10.229639229,ICMP,1.1.1.1,192.168.208.128,,,,
11.227433289,ICMP,192.168.208.128,1.1.1.1,,,,
11.231565146,ICMP,1.1.1.1,192.168.208.128,,,,
