frame.time_relative,_ws.col.Protocol,ip.src,ip.dst,icmp.type,tcp.srcport,tcp.dstport
0.000000000,ICMP,192.168.58.5,192.168.58.4,8,,
0.000069940,ICMP,192.168.58.4,192.168.58.5,0,,
1.001632506,ICMP,192.168.58.5,192.168.58.4,8,,
1.001700906,ICMP,192.168.58.4,192.168.58.5,0,,
2.003066932,ICMP,192.168.58.5,192.168.58.4,8,,
2.003134822,ICMP,192.168.58.4,192.168.58.5,0,,
3.030790632,ICMP,192.168.58.5,192.168.58.4,8,,
3.030862890,ICMP,192.168.58.4,192.168.58.5,0,,
3.591365389,TCP,192.168.58.5,192.168.58.4,,51246,80
3.591427816,TCP,192.168.58.4,192.168.58.5,,80,51246
4.032522201,ICMP,192.168.58.5,192.168.58.4,8,,
4.032581601,ICMP,192.168.58.4,192.168.58.5,0,,
4.472020164,DNS,192.168.220.128,192.168.220.1,,,
4.472020560,DNS,192.168.220.128,192.168.220.1,,,
4.472302735,TCP,192.168.220.128,192.168.220.1,,35292,53
5.033741220,ICMP,192.168.58.5,192.168.58.4,8,,
5.033808811,ICMP,192.168.58.4,192.168.58.5,0,,
5.494447319,TCP,192.168.220.128,192.168.220.1,,35292,53
6.034256290,ICMP,192.168.58.5,192.168.58.4,8,,
6.034289862,ICMP,192.168.58.4,192.168.58.5,0,,
7.062468782,ICMP,192.168.58.5,192.168.58.4,8,,
7.062539807,ICMP,192.168.58.4,192.168.58.5,0,,
7.510543300,TCP,192.168.220.128,192.168.220.1,,35292,53
8.086078652,ICMP,192.168.58.5,192.168.58.4,8,,
8.086155321,ICMP,192.168.58.4,192.168.58.5,0,,
9.110611061,ICMP,192.168.58.5,192.168.58.4,8,,
9.110681446,ICMP,192.168.58.4,192.168.58.5,0,,
10.112131336,ICMP,192.168.58.5,192.168.58.4,8,,
10.112200673,ICMP,192.168.58.4,192.168.58.5,0,,
11.112829248,ICMP,192.168.58.5,192.168.58.4,8,,
11.112894886,ICMP,192.168.58.4,192.168.58.5,0,,
11.734395211,TCP,192.168.220.128,192.168.220.1,,35292,53
12.118547081,ICMP,192.168.58.5,192.168.58.4,8,,
12.118609288,ICMP,192.168.58.4,192.168.58.5,0,,
12.758143631,ARP,,,,,
12.758408445,ARP,,,,,
13.119585814,ICMP,192.168.58.5,192.168.58.4,8,,
13.119654608,ICMP,192.168.58.4,192.168.58.5,0,,
13.155321677,ARP,,,,,
13.155703825,ARP,,,,,
13.269917712,ARP,,,,,
13.269941904,ARP,,,,,
14.134778304,ICMP,192.168.58.5,192.168.58.4,8,,
14.134847838,ICMP,192.168.58.4,192.168.58.5,0,,
14.485165974,TCP,192.168.220.128,192.168.220.1,,38322,53
